Ticket_ID,Airline_ID,Airline_Name,Flight_Number,Departure_Airport,Departure_City,Departure_Country,Departure_Date,Departure_Time,Arrival_Airport,Arrival_City,Arrival_Country,Arrival_Date,Arrival_Time,Duration,Ticket_Price,Seat_Class,Booking_Status,Seat,Available_Seats
1,3,American Airlines,AM402,BOS,Boston,USA,2025-03-06,1140,YYZ,Toronto,Canada,2025-03-06,1707,5h 27m,956,Business,Available,A1,1
2,2,Delta,DE809,BOS,Boston,USA,2025-02-26,1327,SYD,Sydney,Australia,2025-02-26,0321,13h 54m,1642,Business,Available,B1,1
3,2,Delta,DE799,BOS,Boston,USA,2025-03-04,1729,NRT,Tokyo,Japan,2025-03-04,0634,13h 5m,1940,First Class,Available,C1,1
4,1,JetBlue,JE537,DFW,Dallas,USA,2025-03-22,1708,CDG,Paris,France,2025-03-22,0157,8h 49m,1353,First Class,Available,D1,1
5,5,United,UN581,SEA,Seattle,USA,2025-03-13,1203,YYZ,Toronto,Canada,2025-03-13,0222,14h 19m,309,Economy,Available,E1,1
6,1,JetBlue,JE767,ORD,Chicago,USA,2025-03-03,1624,AMS,Amsterdam,Netherlands,2025-03-03,0518,12h 54m,263,Economy,Available,F1,1
7,2,Delta,DE625,SEA,Seattle,USA,2025-03-03,0404,NRT,Tokyo,Japan,2025-03-03,1445,10h 41m,1964,Business,Available,A2,1
8,5,United,UN403,DFW,Dallas,USA,2025-03-06,0855,FRA,Frankfurt,Germany,2025-03-06,1502,6h 7m,1197,Business,Available,B2,1
9,1,JetBlue,JE874,DFW,Dallas,USA,2025-03-18,2305,DXB,Dubai,UAE,2025-03-18,1036,11h 31m,408,Business,Available,C2,1
10,4,Southwest,SO639,SEA,Seattle,USA,2025-03-12,1427,AMS,Amsterdam,Netherlands,2025-03-12,1945,5h 18m,1503,Business,Available,D2,1
11,5,United,UN519,ORD,Chicago,USA,2025-02-26,1112,SYD,Sydney,Australia,2025-02-26,2111,9h 59m,1644,Economy,Available,E2,1
12,4,Southwest,SO367,DEN,Denver,USA,2025-03-01,0454,YYZ,Toronto,Canada,2025-03-01,1344,8h 50m,1884,Economy,Available,F2,1
13,3,American Airlines,AM834,DFW,Dallas,USA,2025-03-18,2022,CDG,Paris,France,2025-03-18,0420,7h 58m,434,Economy,Available,A3,2
14,1,JetBlue,JE285,DFW,Dallas,USA,2025-03-10,1548,FRA,Frankfurt,Germany,2025-03-10,2108,5h 20m,1069,First Class,Available,B3,1
15,1,JetBlue,JE543,BOS,Boston,USA,2025-03-13,1712,AMS,Amsterdam,Netherlands,2025-03-13,2241,5h 29m,838,Economy,Available,C3,1
16,2,Delta,DE868,JFK,New York,USA,2025-03-21,1348,CDG,Paris,France,2025-03-21,0046,10h 58m,1367,Business,Available,D3,1
17,5,United,UN814,ATL,Atlanta,USA,2025-03-11,0735,MAD,Madrid,Spain,2025-03-11,1949,12h 14m,265,First Class,Available,E3,1
18,1,JetBlue,JE524,DEN,Denver,USA,2025-03-12,1711,AMS,Amsterdam,Netherlands,2025-03-12,0632,13h 21m,1859,First Class,Available,F3,1
19,1,JetBlue,JE959,MIA,Miami,USA,2025-03-10,0354,YYZ,Toronto,Canada,2025-03-10,1527,11h 33m,1922,Business,Available,A4,1
20,5,United,UN973,MIA,Miami,USA,2025-02-28,2308,NRT,Tokyo,Japan,2025-02-28,1044,11h 36m,1423,Business,Available,B4,1
21,1,JetBlue,JE258,MIA,Miami,USA,2025-03-09,0023,MAD,Madrid,Spain,2025-03-09,0752,7h 29m,1855,First Class,Available,C4,1
22,2,Delta,DE247,LAX,Los Angeles,USA,2025-03-05,2135,LHR,London,UK,2025-03-05,0604,8h 29m,1598,Business,Available,D4,1
23,3,American Airlines,AM370,DFW,Dallas,USA,2025-03-08,1521,CDG,Paris,France,2025-03-08,0116,9h 55m,1355,Business,Available,E4,1
24,2,Delta,DE872,BOS,Boston,USA,2025-03-17,0916,CDG,Paris,France,2025-03-17,1617,7h 1m,874,First Class,Available,F4,1
25,3,American Airlines,AM264,DEN,Denver,USA,2025-03-01,0004,NRT,Tokyo,Japan,2025-03-01,0843,8h 39m,1912,First Class,Available,A5,1
26,3,American Airlines,AM745,ATL,Atlanta,USA,2025-03-13,1502,MAD,Madrid,Spain,2025-03-13,0008,9h 6m,280,First Class,Available,B5,1
27,4,Southwest,SO968,JFK,New York,USA,2025-03-10,1203,DXB,Dubai,UAE,2025-03-10,2026,8h 23m,610,Business,Available,C5,1
28,3,American Airlines,AM175,BOS,Boston,USA,2025-03-05,1118,SYD,Sydney,Australia,2025-03-05,0229,15h 11m,819,First Class,Available,D5,1
29,3,American Airlines,AM930,SFO,San Francisco,USA,2025-03-21,1515,FRA,Frankfurt,Germany,2025-03-21,0021,9h 6m,436,Business,Available,E5,1
30,1,JetBlue,JE183,DEN,Denver,USA,2025-03-15,2113,MAD,Madrid,Spain,2025-03-15,0433,7h 20m,667,First Class,Available,F5,1
31,3,American Airlines,AM616,ATL,Atlanta,USA,2025-03-14,1309,YYZ,Toronto,Canada,2025-03-14,0435,15h 26m,1716,Business,Available,A1,1
32,2,Delta,DE274,SEA,Seattle,USA,2025-03-18,1233,NRT,Tokyo,Japan,2025-03-18,2001,7h 28m,1745,Economy,Available,B1,1
33,2,Delta,DE494,SFO,San Francisco,USA,2025-03-03,0628,SYD,Sydney,Australia,2025-03-03,1707,10h 39m,1420,Business,Available,C1,1
34,3,American Airlines,AM452,ATL,Atlanta,USA,2025-02-27,0156,CDG,Paris,France,2025-02-27,1651,14h 55m,897,Economy,Available,D1,1
35,2,Delta,DE983,DFW,Dallas,USA,2025-03-19,0232,LHR,London,UK,2025-03-19,1044,8h 12m,864,Business,Available,E1,1
36,3,American Airlines,AM272,LAX,Los Angeles,USA,2025-03-26,0644,AMS,Amsterdam,Netherlands,2025-03-26,1636,9h 52m,370,Business,Available,F1,1
37,4,Southwest,SO176,MIA,Miami,USA,2025-03-18,1003,CDG,Paris,France,2025-03-18,1539,5h 36m,1533,Economy,Available,A2,1
38,3,American Airlines,AM815,SEA,Seattle,USA,2025-03-07,1806,MAD,Madrid,Spain,2025-03-07,0315,9h 9m,790,First Class,Available,B2,1
39,2,Delta,DE546,BOS,Boston,USA,2025-03-02,2330,LHR,London,UK,2025-03-02,1438,15h 8m,883,Business,Available,C2,1
40,4,Southwest,SO431,DFW,Dallas,USA,2025-03-26,1759,NRT,Tokyo,Japan,2025-03-26,0328,9h 29m,1460,First Class,Available,D2,1
41,2,Delta,DE838,SEA,Seattle,USA,2025-03-11,1806,AMS,Amsterdam,Netherlands,2025-03-11,0509,11h 3m,593,Economy,Available,E2,1
42,5,United,UN945,LAX,Los Angeles,USA,2025-02-26,1516,NRT,Tokyo,Japan,2025-02-26,0120,10h 4m,1923,Economy,Available,F2,1
43,1,JetBlue,JE809,MIA,Miami,USA,2025-03-08,0842,DXB,Dubai,UAE,2025-03-08,1419,5h 37m,887,First Class,Available,A3,1
44,2,Delta,DE422,BOS,Boston,USA,2025-03-07,1215,YYZ,Toronto,Canada,2025-03-07,0028,12h 13m,1659,Business,Available,B3,1
